Platform,Company
Wii,Nintendo
NES,Nintendo
GB,Nintendo
DS,Nintendo
X360,Microsoft
PS3,Sony
PS2,Sony
SNES,Nintendo
GBA,Nintendo
 3DS,Nintendo
PS4,Sony
N64,Nintendo
PS,Sony
XB,Microsoft
PC,Microsoft
2600,Atari
PSP,Sony
XOne,Microsoft
GC,Nintendo
WiiU,Nintendo
GEN,Sega
DC,Sega
PSV,Sony
SAT,Sega
SCD,Sega
WS,Bandai
NG,SNK
TG16,NEC
3DO,Panasonic
GG,Sega
PCFX,NEC
